Stack, Frequency
ཧོྃ,18
ཀྵ྄,18
དཱུྃ,18
ཧྼཱྀ,18
ཪྼྀ,18
Ä,18
g,18
བིྃ,18
ཧེྃ,18
ཨིྃ,18
ཀྵཱྃ,18
གྷཱྃ,18
ཤྂ,18
ཧྲཱུྃ,17
མྺཱ,17
༅ོ,17
༠ི,17
༅ེ,17
༔ི,17
ཆོྃ,17
སྨྼྻུཾ,17
དྲྃ,17
ཁཱྃ,17
ཊུྃ,17
ཤིྃ,17
ཤཱིྃ,17
ཤྭྃ,17
སྟཱྃ,17
གྷྂ,17
་ྂ,16
±,16
ཋ྄,16
ཪྻེ,16
ཥྼཱྀ,16
ཥཱྃ,16
དྲིྃ,16
གྷྣཱྃ,16
དྷུྃ,16
ཊྭཱྂ,16
ཤྱྃ,16
ཛྷཱྃ,16
ཁཱྂ,16
ཝཱྃ,15
ཀྵླྀཾ,15
ཡྻེ,15
༢ི,15
༁ིྃ,15
ྈྐཾ,15
རྙྀི,15
ཛྲུྃ,15
ཧ྄ཱུྃ,15
ྉྤུ,15
གྷྣྃ,15
ཌྼཱྀ,15
གུྃ,15
རིྃ,15
໊,15
ཤྩྃ,15
 ུ,15
་ྶ,15
་ྷྐྵྨླྺྼྻྃ,15
པྎ,15
ཕྲྃ,14
ཀྵླཱྀཾ,14
ས྄ི,14
༑ེ,14
༔ྃ,14
ཏྲྂ,14
ཪྻུ,14
དྼྀ,14
།ྂ,14
མོྃ,14
གཱྃ,14
ཥྐྃ,14
ཤྲཱིྃ,14
ནྂ,14
ཏྲིྃ,14
ཀྵྨྃ,14
o,14
བྷྲཱྀཾ,14
པྱཱྃ,13
བྷྲྃ,13
པོྃ,13
ཟྃ,13
བྷྲུྂ,13
ཏྲཱྂ,13
ྉྤཱུ,13
a,13
ཧྲེྃ,13
དྷིྃ,13
་ྷ,13
དྷྲྀཾ,13
པུྃ,12
ཧྲུྃ,12
མྺ,12
版,12
有,12
印,12
发,12
行,12
部,12
联,12
系,12
：,12
:ོ,12
༠ོ,12
་ྀཾི,12
ཡྻཱ,12
ཨ྄,12
བྼྀ,12
སྱྃ,12
ཪྼཱྀ,12
གྼྀ,12
འྃ,12
ƒ,12
གེྃ,12
ཞིྃ,12
,12
ཧུྂ,12
ཡྨྼྻུཾ,12
ཏཱུྃ,12
ནཱྂ,12
ཙིྃ,12
ཀྷོྃ,12
ཙྂ,12
གྎི,12
ཧཱཱུྃ,12
་ྶྀཾ,12
༨ེ,11
^,11
༅ྃ,11
ཧྐྵྨླྺྼྻྃ,11
གྼཱྀ,11
སོྃ,11
རྗེྃ,11
áཾ,11
ð,11
སྙྤྴྵྍྐ,11
ཤྲིྃ,11
ཕྲོྃ,11
གྷྲཱྃ,11
ཛུྃ,11
རྡྷྃ,11
ལུྃ,11
སེྃ,11
✵,11
ལ྄ྀ,10
ཧྻ,10
ཧྻཱ,10
ཀྱྀི,10
རྺི,10
`,10
ཛྲྀཾ,10
ནྟ྄,10
༑ི,10
སྥྃ,10
དྷྲུྃ,10
ལྼྀ,10
ཪྻོ,10
ཀྵྼཱ,10
བྼཱྀ,10
རྩྃ,10
‚,10
སྙྤྴྵྍྐཱ,10
ཧྨྼྻུཾ,10
ནྱྃ,10
ཛེྃ,10
དྭྃ,10
