Stack, Frequency
 ,7458573
	,102
མྺཱ,14
 ེ,8
 ོ,8
 ི,6
ཿེ,2
ཿི,1
ཿྩི,1
༈༙,1
ཿུ,1
ཿྗེ,1
ཿྲ,1
